candidate_id,mention_id,source_id,source_type,source_ref_id,line_number,matched_text,context,event_hint,matchup_hint,winner_hint,loser_hint,method_hint,method_raw_hint,round_hint,time_hint,confidence,notes
source-result-0001,note:note-emperor-line-00021,note:note-emperor,note_article,note-emperor,21,２代目 むらき（ターゲットライト級王座統一）,２代目 むらき（ターゲットライト級王座統一）,,,,,,,,,low,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0002,note:note-n001f39a5fefb-line-00014,note:note-n001f39a5fefb,note_article,note-n001f39a5fefb,14,（2R3分46秒KO 左フック→右ジャブ→パウンド）,（2R3分46秒KO 左フック→右ジャブ→パウンド）,マウンテン・ヒーローズNo.33,,,,KO,KO,2R,3分46秒,medium,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0003,note:note-n001f39a5fefb-line-00024,note:note-n001f39a5fefb,note_article,note-n001f39a5fefb,24,（1R2分23秒KO 左フック）,（1R2分23秒KO 左フック）,,,,,KO,KO,1R,2分23秒,medium,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0004,note:note-n046653bda67a-line-00010,note:note-n046653bda67a,note_article,note-n046653bda67a,10,☆ライト級ワンマッチ（ノンタイトル）,☆ライト級ワンマッチ（ノンタイトル）,マウンテン・ヒーローズNo.32,マウンテン・ヒーローズNo.32,,,,,,,low,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0005,note:note-n05a3b7b38805-line-00010,note:note-n05a3b7b38805,note_article,note-n05a3b7b38805,10,☆ライト級タイトルマッチ,☆ライト級タイトルマッチ,ターゲットNo.93,,,,,,,,low,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0006,note:note-n05a3b7b38805-line-00014,note:note-n05a3b7b38805,note_article,note-n05a3b7b38805,14,（1R1分51秒KO 膝蹴り→パウンド）,（1R1分51秒KO 膝蹴り→パウンド）,ターゲットNo.93,,,,KO,KO,1R,1分51秒,medium,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0007,note:note-n05a3b7b38805-line-00015,note:note-n05a3b7b38805,note_article,note-n05a3b7b38805,15,＊防衛数,＊防衛数,ターゲットNo.93,,,,,,,,low,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0008,note:note-n05a3b7b38805-line-00020,note:note-n05a3b7b38805,note_article,note-n05a3b7b38805,20,（1R1分３２秒 RNC）,（1R1分３２秒 RNC）,,,,,SUB,RNC,1R,1分32秒,medium,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0009,note:note-n05a3b7b38805-line-00025,note:note-n05a3b7b38805,note_article,note-n05a3b7b38805,25,（3R終了判定2-1）,（3R終了判定2-1）,,,,,DEC,判定,3R,,medium,Review-only candidate from source_mentions; do not treat as confirmed result.
source-result-0010,note:note-n05a3b7b38805-line-00030,note:note-n05a3b7b38805,note_article,note-n05a3b7b38805,30,（1R1分50秒KO 左アッパー）,（1R1分50秒KO 左アッパー）,,,,,KO,KO,1R,1分50秒,medium,Review-only candidate from source_mentions; do not treat as confirmed result.
